Program,Activity,Presenting Organization,Project Title,URL,Text,Activity_Detail
Building Energy Codes,Overview,U.S. Department of Energy,Building Energy Codes: What's New and Next?,https://www.energy.gov/eere/buildings/downloads/building-energy-codes-what-s-new-and-next,Overview of new and upcoming developments in the field of building energy codes.,Overview
Commercial Buildings Integration,Energy Performance and Tools,National Renewable Energy Laboratory,Commercial Buildings Stock Analysis,https://www.energy.gov/eere/buildings/downloads/commercial-buildings-stock-analysis ,"<p><strong>Weighted Average:</strong> 3.32&nbsp;&nbsp; &nbsp;<strong># of Reviewers:</strong> 6</p>
<p><strong>Approach:</strong> 3.50&nbsp;&nbsp; &nbsp;<strong>Impact:</strong> 3.17&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 3.17&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 3.17&nbsp;&nbsp; &nbsp;<strong>Remaining Work:</strong> 3.50</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>Overall, reviewers strongly approved of this project's approach to designing and developing ComStock, the commercial equivalent of ResStock. Multiple reviewers stated that while the tool would not directly contribute to technical challenges or energy savings, it would serve an important research and development (R&amp;D) purpose. The approach was also described as practical and logical due to the fact that it was modeled after ResStock. As an area of potential improvement, one reviewer noted that it would be beneficial if utilities or other organizations could upload local information to segment the data for their unique service area. With regards to the usefulness of the project, one reviewer recommended enabling the new tool to reference ResStock so as to represent the total building stock.</p>
<p>In terms of project impact, reviewers considered the project to be a ""phenomenal tool for research"" and ""critical to increasing [the penetration of] renewable generation."" Another reviewer highlighted the tool's ability to support decision-makers within governments, utilities, and other organizations on a range of policy and funding choices. Similarly, a separate reviewer commented that the tool would help provide consistent data and methods to compare technologies and their contribution to program goals. However, the indirect nature of the project's impact had one reviewer uncertain as to how to assess its potential.</p>
<p>Across the board, reviewers had positive impressions of both the project's progress and its collaboration and coordination activities. Several reviewers commented that the project was on track for completion and advancing as planned. One reviewer mentioned that the team has already had significant interest from the private sector, which they said, ""makes a strong case for this project."" The majority of reviewers approved of the team's stakeholder engagement and noted that the relevant collaborators were contacted, and a variety of perspectives considered. However, one reviewer recommended that the project team also reach out to other organizations for partnership, listing a number of potential national and local groups. As for the remaining work, reviewers agreed that the team was well-positioned to complete the project and meet their stated goals.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers to inform potential updates to this project.</p>",Energy Performance and Tools
Commercial Buildings Integration,Energy Performance and Tools,Pacific Northwest National Laboratory,Building Energy Asset Score,https://www.energy.gov/eere/buildings/downloads/building-energy-asset-score-0,"<p><strong>Weighted Average:</strong> 3.29&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 6</p>
<p><strong>Approach:</strong> 3.50&nbsp;&nbsp; &nbsp;<strong>Impact:</strong> 3.33&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 3.33&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 3.00&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 3.17</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>In general, the Building Energy Asset Score (Asset Score) project was highly regarded with reviewers in agreement about the team's strong approach to developing the new DOE tool. One reviewer praised the Asset Score and said it is ""on-track to become an effective tool for informing investments and real estate transactions for the commercial and multifamily building sector."" Several reviewers highlighted the easy-to-use interface and the balance between simplicity and customization of the tool to provide energy-efficiency recommendations for potential retrofit opportunities. However, one reviewer expressed concern that the team should perform a large-scale comparison of asset and operational scores in order to identify discrepancies.</p>
<p>Most reviewers commended the project's potential contribution to DOE goals and provided a long list of relevant end users including building owners, investors, utilities, regulators, and other decision makers. Reviewers found the interoperability of Asset Score to function with other tools to be one of the project's major strengths. While reviewers displayed great support for the project, they also asserted that the team needs to further its efforts to achieve an impactful level of market penetration. Due to this concern, reviewers stressed the importance of outreach moving forward.</p>
<p>In terms of progress and remaining work, the majority of reviewer comments were positive and noted the likelihood that the team would accomplish the project-specific goals. One reviewer mentioned the rollout to key stakeholders as an important indicator of success but continued by recommending additional engagement with other organizations that might not be as familiar with energy efficiency, such as financial groups. Multiple reviewers complimented the confidence level feature, the team's focus on integration with other tools, and their future work to expand use types.</p>
<p>Reviewer comments on stakeholder engagement were slightly mixed with reviewers in disagreement over the team's current progress. One reviewer noted their amazement that state and local governments have already specified Asset Score Audit Template as the compliance pathway for audit ordinances. Another reviewer applauded the project's coordination with utilities and municipalities. While the team's collaboration efforts were generally well-received, reviewers recommended strategies to increase market adoption for the Asset Score tool. Similarly, reviewers were critical regarding the lack of inclusion of the real estate industry and suggested that the team help building owners recognize the value of the tool.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers to inform potential updates to this project.</p>",Energy Performance and Tools
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Center for Energy and Environment,Using Network Switches to Operate and Control Lighting and Plug Loads in Commercial Building Office Spaces,https://energy.gov/eere/buildings/downloads/using-network-switches-operate-and-control-lighting-and-plug-loads,"<p><strong>Weighted Average:</strong> 2.88&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 6</p>
<p><strong>Approach:</strong> 3.00&nbsp;&nbsp; &nbsp;<strong>Impact:</strong> 2.50&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 3.00&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 3.17&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 2.67</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>Reviewers had a favorable view of the project's approach to test the use of network switches in the operation of lighting and plug loads in office buildings. Multiple reviewers noted the importance of answering these research questions and determining the potential energy savings for this technology. One reviewer commended the staged implementation of the project whereby the project team could learn from the experiences of the first project sites and use that knowledge to inform the second set. However, another reviewer noted that the project was focused more on the technology deployment and less on understanding and solving the actual barriers. Others saw the potential for improvement in the Power over Ethernet (PoE) project with one reviewer highlighting the importance of solving the problem of added loads coming from the router.</p>
<p>As for the project impact, reviewers disagreed over the project's potential contribution to program goals with some reviewers uncertain whether utilizing PoE would result in energy savings. Two reviewers recommended recalculating the national savings potential with different assumptions in order to reach a more representative estimate. A different reviewer remarked that the project will likely provide a clear understanding of the potential energy savings of the technology as well as any implementation challenges. On the other hand, another reviewer commented that this study ""positions DOE BTO to be a leader in conversations about intelligent buildings.""</p>
<p>Overall, a majority of reviewers described progress as ""advancing as expected"" and ""aligned with the individual project goals."" These reviewers also mentioned that the project team already produced meaningful results about the presence of parasitic loads, stating that the team's finding was ""likely to shape the industry's path forward in developing this technology."" Conversely, one reviewer raised the concern that only two buildings have been evaluated, which they stated was far from demonstrating wide-scale deployment success.</p>
<p>Many reviewers expressed a positive outlook of the team's collaboration and coordination efforts for the current stage of the research. One reviewer highlighted the partnerships with the two architecture firms and, also, the cost-share element of the project with funding from the State of Minnesota. In terms of future collaboration and scaling the technology, reviewers suggested engaging with industry and other stakeholders like utilities.</p>
<p>Comparable to their comments on the project's impact, reviewers were split on their evaluation of the remaining work. While four of the reviewers found the remaining project work to be appropriate with the presented schedule and goals, the other two stated their concerns. One of those reviewers noticed that the presentation lacked future steps to identify and address the obstacles from the demonstrations. The second reviewer found that the team still needed to make significant progress before they could explicitly show project success.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes peer review as an effective program management tool and will use the feedback provided by the reviewers to inform potential updates to this project as appropriate.</p>",Field Validation & Data Frameworks (CBI)
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),U.S. Department of Energy,Field Validation: Does it work in the real world?,https://www.energy.gov/eere/buildings/downloads/field-validation-does-it-work-real-world ,"This project was presented, but not reviewed, at the 2019 BTO Peer Review.",Field Validation & Data Frameworks (CBI)
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Lawrence Berkeley National Laboratory,Hybrid HVAC with Thermal Energy Storage Research and Demonstration,https://www.energy.gov/eere/buildings/downloads/hybrid-hvac-thermal-energy-storage-research-and-demonstration ,"<p><strong>Weighted Average:</strong> 2.25&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 5</p>
<p><strong>Approach:</strong> 1.80&nbsp;&nbsp; &nbsp;<strong>Impact:</strong> 1.80&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 2.60&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 3.00&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 2.40</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>Generally, the reviewers took issue with the project's approach to developing an HVAC system that dampens fluctuations in the pricing of the electric grid. Although the project is in its early stages, reviewers found the modeling was too detailed, and the project did not incorporate the development of new technologies. One reviewer noted that the complexities and regulations introduced with this project's approach will not be worth the savings it may attain. As a suggestion for a more cost-effective approach, one reviewer recommended conducting a theoretical study that could highlight a critical area of research in the proposed system.</p>
<p>Many reviewers commented that if the proposed system were successful, it could theoretically have an impact in improving grid reliability. However, given the high costs of the phase change material (PCM) and limited promotion of the technology by utilities, the majority of the reviewers cautioned that adoption would be unlikely.</p>
<p>Most of the reviewers were pleased with the project's collaboration, commending the good number of experts, academic collaborators, advisors and credentials for the task. More critically, one reviewer would like to have seen more end-user and installer involvement, as market adoption without government incentives can be a challenge.</p>
<p>Despite the early stage, most reviewers agreed that progress has been made on track and on schedule. However, one reviewer noted that little progress had been made in this effort up to this point. Reviewers were conflicted on the remaining project work. While some found it to be clearly outlined and reasonable, others found that the final phases may fall short of getting real-world input to drive significant value.</p>
<p>The reviewers applauded the project for its strong team, simple approach, and technical strengths, however they did raise concerns regarding the project team's understanding of the general physics of PCMs, the economic viability of the project, and the practicality and cost-competitiveness of any prototype. To address these challenges, reviewers did make recommendations: two reviewers recommended the involvement of manufacturers as soon as possible, while another reviewer suggested performing a detailed techno-economic analysis.</p>
<h4>Program Response</h4>
<p>The research staff at LBNL is actively seeking additional industry partners and is currently in discussions to partner with three private entities, including an energy storage manufacturer, a solar panel company, and a battery installer, who have expressed support for the project concept. The project team will focus more on a techno-economic analysis to demonstrate the economic viability of this technology solution in future project plans and reviews.</p>
<p>&nbsp;</p>
<p>Project staff also agree that the project needs more real-world input, and they have hence focused on industry engagement as a core part of this work. Furthermore, the team will elaborate on the multiple potential business model concepts identified through collaborations with the iCorps program. The team has also added a new team member who can bolster their expertise on PCM building physics.</p>",Field Validation & Data Frameworks (CBI)
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Lawrence Berkeley National Laboratory,"Mortgages, Brokers, Financial Data",https://www.energy.gov/eere/buildings/downloads/energy-efficiency-and-financial-value ,"<p><strong>Weighted Average:</strong> 3.14&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 5</p>
<p><strong>Approach:</strong> 3.20&nbsp;&nbsp; &nbsp;<strong>Impact:</strong> 3.20&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 3.20&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 3.20&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 2.80</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>The majority of reviewers found the approach to be favorable, though they identified the lack of empirical information on the subject as a major gap and noted the need to characterize the field with this early research. The resulting research outcomes were described by one reviewer as valuable, although they also noted that the project team should have chosen studies that explored more insightful research questions. Reviewer feedback also highlighted the importance of understanding what drives building design decisions and how energy savings plays into that decision-making process.</p>
<p>Overall, reviewers had positive comments regarding the project impact with multiple reviewers stating the importance of disseminating the project results. Although reviewers noted the difficulty linking project impact to a decrease in energy savings, they insisted that the findings would help the energy-efficiency community better understand the landscape. One reviewer stressed the need to understand whether acknowledgment that a certain technology can lead to energy savings is motivation enough to push the market to adopt efficiency measures. Reviewers also stated that the results could help justify regulatory involvement instead of market-based solutions.</p>
<p>The project progress and the team's collaborations were both highly rated by the reviewers. Four of the reviewers had positive feedback on progress with the fifth citing inconclusive results and a delayed schedule as justification for the ""fair"" rating. While one reviewer suggested further partnering efforts with organizations, most of the reviewers described the project as having great collaboration with both academia and the real estate industry. Reviewers generally applauded the project's engagement and inclusion of different perspectives and areas of expertise.</p>
<p>In terms of the remaining work, reviewers mainly affirmed that the scope was clearly planned and consistent with project goals. Two reviewers emphasized the importance of disseminating the results and ensuring that the studies reach the relevant audiences. It was also suggested to continue convening the real estate stakeholder working group that was formed through this project.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes the peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers to inform potential updates to this project.</p>",Field Validation & Data Frameworks (CBI)
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Lawrence Berkeley National Laboratory,Smart Energy Analytics Campaign,https://www.energy.gov/eere/buildings/downloads/smart-energy-analytics-campaign ,"<p><strong>Weighted Average:</strong> 3.20&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 5</p>
<p><strong>Approach:</strong> 3.20&nbsp;&nbsp; &nbsp;<strong>Impact:</strong> 3.20&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 3.20&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 3.20&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 3.20</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>The approach to the Smart Energy Analytics Campaign was well-received by reviewers as a solution to address the lack of adoption in Energy Management and Information Systems (EMIS), and the associated loss of operational savings. Reviewers stated that the use of a DOE Campaign was ""the perfect tool to spread awareness and comfort with EMIS systems,"" comprising an excellent approach. Several reviewers remarked that the project team had done a great job of engaging building owners and operators about their experiences using the technology. Success stories and cost-benefit information was also mentioned as part of the approach to encourage further adoption. In addition, a reviewer suggested that the team establish a long-term method to spread awareness and lessons learned by creating an EMIS course for trade schools and universities.</p>
<p>The project impact also received positive feedback and was described as addressing real-world challenges to energy-efficiency measures. Reviewers highlighted the benefits that this project would bring to the building management community and commented that it would likely achieve real savings while contributing to BTO's goals specific to the existing building stock. However, one reviewer stated that the team's estimated impact was overstated compared to the reviewer's internal calculations and hence suggested re-examining the figures to confirm they are representing a realistic estimate for the target commercial buildings market.</p>
<p>Reviewers found both the project progress and the team's collaboration and coordination efforts to be very positive. The project was said to be progressing well with good results in accordance with the presented schedule. As a DOE campaign, reviewers noted that the project was largely about collaboration and that the team had outstandingly engaged all the relevant stakeholders. The collaboration was said to reach a wide audience of all the relevant stakeholders. Another reviewer recommended that the peer network continue even after the project is finished in order to ensure stakeholders can benefit from the structured collaboration.&nbsp;</p>
<p>Regarding the remainder of the project, reviewers looked favorably on the planned work and final steps for the DOE campaign. The majority of reviewers found the remaining work to be logical and consistent with the overall project goals. One reviewer noted that the team produced research and resources that have ""already served as a powerful resource for property owners and managers.""</p>
<h4>Program Response</h4>
<p>The project team will continue to engage with building owners at any stage in the process of adoption and work to ensure that its calculations of the relevant target market size and estimates of technical potential are based on the best available data. The team will also review its stakeholder engagement efforts and reporting activities to clarify its approach to engaging building owners and reporting savings and successful strategies as appropriate.</p>",Field Validation & Data Frameworks (CBI)
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),National Renewable Energy Laboratory,ESIF Commercial Buildings Integration Lab,https://www.energy.gov/eere/buildings/downloads/commercial-buildings-integration-lab ,"<p><strong>Weighted Average:</strong> 3.43&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 4</p>
<p><strong>Approach:</strong> 3.75&nbsp;&nbsp; &nbsp;<strong>Impact:</strong> 3.75&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 3.50&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 2.50&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 3.50</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</h4>
<p>Reviewer comments on the development of the Energy Systems Integration Facility (ESIF) were overwhelmingly positive. Several reviewers specified that the project goal was to build the facility as opposed to conduct simulations or validation testing. Overall, the project team's approach was applauded for its great concept and flexible design. Reviewers highlighted the potential implications on future research and the contributions the ESIF could make to the advancement of energy efficiency and grid-interactive efficient buildings (GEB) technologies.&nbsp;</p>
<p>The project impact was equally well-regarded with reviewers stressing the importance of the ESIF as a research and development tool. One reviewer considered the project to be highly impactful because it will ""provide critical operations data that will drive the acceptance and adoption of multiple technologies."" Another reviewer commented on the increased reliability and reduced cost of evaluating potential technological solutions through the ESIF compared to field demonstrations that often have multiple uncontrolled variables. In addition, reviewers stated that the ESIF would be a great venue to offer much needed hardware-in-the-loop services for utility and private-sector projects.</p>
<p>In terms of progress, reviewers were pleased with the team's effort to meet project-specific goals and complete ESIF development on schedule and within budget. On the other hand, two reviewers found areas of improvement in the team's collaboration and coordination with stakeholders. Those reviewers suggested involving more organizations in the project such as other labs, commercial building owners, utilities, manufactures, and other groups in need of technology validation. Another recommendation was to expand the technical advisory group to receive more broad input on the different applications for the facility. The other two reviewers considered stakeholder engagement efforts to be appropriate for the project and inclusive of diverse perspectives. It was also noted that the private sector and utilities have already demonstrated interest in both using the ESIF and the forthcoming results.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes peer review as an effective tool for program management and will use the feedback provided by the reviewers to inform potential updates to this project as deemed appropriate.</p>",Field Validation & Data Frameworks (CBI)
Commercial Buildings Integration,Technology Systems & Packages (CBI),Oak Ridge National Laboratory,Multifunctional Composite Panels for Building Envelope Retrofits,https://www.energy.gov/eere/buildings/downloads/multifunctional-composite-panels-building-envelope-retrofits ,"<p><strong>Weighted Average:</strong> 2.79&nbsp;&nbsp;&nbsp; <strong># of Reviewers:</strong> 7</p>
<p><strong>Approach:</strong> 2.71&nbsp;&nbsp; &nbsp;<strong>Impact:</strong> 2.71&nbsp;&nbsp;&nbsp; <strong>Progress:</strong> 2.86&nbsp;&nbsp;&nbsp; <strong>Collaboration/Coordination:</strong> 3.00&nbsp;&nbsp;&nbsp; <strong>Remaining Work:</strong> 2.71</p>
<p>&nbsp;</p>
<h4>Brief Summary of Reviewer Comments</h4>
<p>The project approach received mixed comments, though reviewers agreed that the purpose of the project aligned with DOE program goals in addressing retrofits to existing buildings and that the technology was more likely to succeed in the commercial sector. Some reviewers found the prefabricated approach promising, while others noted the challenges that face the project team. In particular, several reviewers brought attention to the need to optimize the size of the panels, improve the installation process, and gain acceptance by the construction industry. One reviewer also suggested utilizing construction techniques that already exist in order to minimize the need to further train tradespeople.</p>
<p>Reviewers were also split on the potential impact that the new panels would provide. Multiple reviewers reiterated the need for improvement of current retrofit technology and the potential of overclad technology. Reviewers remarked that adoption would depend greatly on the overall cost and the long-term performance of the panels so more research is needed to determine market potential. It was noted that public acceptance might be limited due to factors such as high cost, complexity of installation, and panel geometry. One reviewer recommended getting more specific feedback from stakeholders about the proposed technology and the joint design between panels.</p>
<p>The majority of reviewers agreed that the project was progressing as planned, but they acknowledged that the project was at an early stage, which made it difficult to judge. The team's work on panel design and testing of the new apparatus was cited as progress and described as the groundwork for the remainder of the project. Based on the presented progress, reviewers provided recommendations on future project tasks as well as improvements to stakeholder engagement. While a few reviewers suggested further partnering with the construction industry, several other reviewers applauded the team's collaboration efforts, especially with the team's manufacturing partner. In addition, a reviewer suggested collaborating with international organizations such as those in the Netherlands that have extensive experience with retrofit panels.</p>
<h4>Program Response</h4>
<p>The Building Technologies Office recognizes peer review as an effective program management tool and will appropriately use the feedback provided by the reviewers to inform potential updates to this project.</p>",Technology Systems & Packages (CBI)
