Program,Activity,Presenting Organization,Project Title,URL,Text
Building Energy Codes,Overview,U.S. Department of Energy,Building Energy Codes: What's New and Next?,https://www.energy.gov/eere/buildings/downloads/building-energy-codes-what-s-new-and-next,Overview of new and upcoming developments in the field of building energy codes.
Commercial Buildings Integration,Energy Performance and Tools,National Renewable Energy Laboratory,Commercial Buildings Stock Analysis,https://www.energy.gov/eere/buildings/downloads/commercial-buildings-stock-analysis ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Energy Performance and Tools,Pacific Northwest National Laboratory,Building Energy Asset Score,https://www.energy.gov/eere/buildings/downloads/building-energy-asset-score-0,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Center for Energy and Environment,Using Network Switches to Operate and Control Lighting and Plug Loads in Commercial Building Office Spaces,https://energy.gov/eere/buildings/downloads/using-network-switches-operate-and-control-lighting-and-plug-loads,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),U.S. Department of Energy,Field Validation: Does it work in the real world?,https://www.energy.gov/eere/buildings/downloads/field-validation-does-it-work-real-world ,"This project was presented, but not reviewed, at the 2019 BTO Peer Review."
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Lawrence Berkeley National Laboratory,Hybrid HVAC with Thermal Energy Storage Research and Demonstration,https://www.energy.gov/eere/buildings/downloads/hybrid-hvac-thermal-energy-storage-research-and-demonstration ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Lawrence Berkeley National Laboratory,"Mortgages, Brokers, Financial Data",https://www.energy.gov/eere/buildings/downloads/energy-efficiency-and-financial-value ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Lawrence Berkeley National Laboratory,Smart Energy Analytics Campaign,https://www.energy.gov/eere/buildings/downloads/smart-energy-analytics-campaign ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),National Renewable Energy Laboratory,ESIF Commercial Buildings Integration Lab,https://www.energy.gov/eere/buildings/downloads/commercial-buildings-integration-lab ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Oak Ridge National Laboratory,Multifunctional Composite Panels for Building Envelope Retrofits,https://www.energy.gov/eere/buildings/downloads/multifunctional-composite-panels-building-envelope-retrofits ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Pacific Northwest National Laboratory,IoT-Enabled Troffer Lighting Challenge,https://www.energy.gov/eere/buildings/downloads/iot-enabled-troffer-lighting-challenge ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),Seventhwave,Integrated Controls Package for High Performance Interior Retrofit,https://energy.gov/eere/buildings/downloads/integrated-controls-package-high-performance-interior-retrofit,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),"Steven Winter Associates, Inc.","A Systems Approach to Achieving Deep Heating Savings Through Measurement, Management & Motivation",https://www.energy.gov/eere/buildings/downloads/systems-approach-achieving-deep-heating-savings-through-measurement,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),TRC Energy Services,Integrated Solutions for Optimized Performance (ISOP) Packages,https://energy.gov/eere/buildings/downloads/integrated-solutions-optimized-performance-isop-package,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Field Validation & Data Frameworks (CBI),University of New Haven,Bringing Fault Detection and Diagnosis (FDD) Tools into the Mainstream: Retro Commissioning and Continuous Commissioning of HVAC and Refrigeration Systems,https://energy.gov/eere/buildings/downloads/fault-detection-and-diagnosis-fdd-tools-retro-commissioning-and-continuous,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Technology Systems & Packages (CBI),Lawrence Berkeley National Laboratory,Integrated systems packages optimized for real estate life-cycle events,https://www.energy.gov/eere/buildings/downloads/integrated-systems-packages-optimized-real-estate-life-cycle-events ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Technology Systems & Packages (CBI),Lawrence Berkeley National Laboratory,Getting Beyond Widgets: Utility incentive programs for commercial building systems (CBI Open Lab Call),http://energy.gov/eere/buildings/downloads/getting-beyond-widgets-utility-incentive-programs-commercial-building,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Technology Systems & Packages (CBI),National Renewable Energy Laboratory,Building-Level DC Distribution Systems,https://www.energy.gov/eere/buildings/downloads/building-level-dc-distribution-systems ,Reviewer comment summaries and project scores coming soon.
Commercial Buildings Integration,Technology Systems & Packages (CBI),National Renewable Energy Laboratory,Controls and Integration Science to Embed EE and DERs into Advanced Manufacturing of Buildings,https://www.energy.gov/eere/buildings/downloads/controls-and-integration-science-embed-ee-and-ders-advanced-manufacturing ,Reviewer comment summaries and project scores coming soon.
Cross-Cutting,Building Energy Data (Portfolio),U.S. Department of Energy,"Data Portfolio (Data Standards, Data Management and Analysis Tools, and Unstructured Data)",https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-building-energy-data-sub-program ,Reviewer comment summaries and portfolio scores coming soon.
Cross-Cutting,Building Energy Modeling (Portfolio),U.S. Department of Energy,Building Energy Modeling Portfolio,https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-building-energy-modeling-sub-program-review ,Reviewer comment summaries and portfolio scores coming soon.
Cross-Cutting,CBI Partnerships (Portfolio),U.S. Department of Energy,Commercial Partnerships (Part 1),https://www.energy.gov/eere/buildings/downloads/bto-peer-review-2019-commercial-partnerships ,Reviewer comment summaries and portfolio scores coming soon.
