Position Title,Summary,Grade,Opening-Closing Dates,Type,Technology Area,CMS Node
Energy Technical Project Specialist,coming soon,GS-13,coming soon,USAJobs,Operations,
Interdisciplinary General Engineer / Physical Scientist,"VTO is looking to bring a technology manager to be part of VTO's Batteries team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. This position is supported by the Bipartisan Infrastructure Bill (BIL) and is focused on battery and critical mineral recycling.",GS-12; GS-13,6/21/2022 - open until filled,Clean Energy Corps,Batteries & Electrification,https://www.energy.gov/node/4820364
Interdisciplinary General Engineer / Physical Scientist,"VTO is looking to bring a technology manager to be part of VTO's Batteries team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. This position is supported by the Bipartisan Infrastructure Bill (BIL) and is focused on electric drive vehicle battery recycling and second-life applications.",GS-13-Term,6/21/2022 - open until filled,Clean Energy Corps,Batteries & Electrification,https://www.energy.gov/node/4820365
Analysis Technology Manager,"VTO is looking to bring a technology manager to be part of VTO's Analysis team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-13 level, analysis technology development managers serve as technical experts in state-of-the-art vehicle and related energy technologies development; vehicle fuel economy and performance; sustainable transportation technology readiness assessment and forecasting; vehicle technology cost reduction; vehicle choice, consumer behavior, and market penetration and dynamics modeling; greenhouse gas accounting and reduction strategies; and other related technologies.",GS-13,6/21/2022 - open until filled,Direct Hire,Operations,https://www.energy.gov/node/4820366
Program Manager (Engineer),"VTO is looking for a dynamic, innovative leader to manage the Vehicle Technologies Office's Energy Efficient Mobility Systems (EEMS) Program. Program managers direct the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. The EEMS program manager manages a team of technical experts in in modeling and simulation; high-performance computing-enabled data analytics; new and emerging transportation-system technologies and new mobility solutions; connected, shared, and automated vehicles; and other related technologies.",GS-15,6/21/2022 - open until filled,Direct Hire,Energy Efficient Mobility Systems,https://www.energy.gov/node/4820368
Technology Development Manager (Engineer),"VTO is looking to bring a technology manager to be part of VTO's Batteries team. Technology development managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-13 level, technology development managers serve as technical experts in battery chemistry and cell technologies, supply chains, and recycling.",GS-13,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/4820371
Technology Development Manager (Engineer),"VTO is looking to bring a technology manager to be part of VTO's Batteries team. Technology development managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-12 level, technology development managers serve as junior technical experts in battery chemistry and cell technologies, supply chains, and recycling.",GS-12,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/4820372
Technology Development Manager (Engineer),"VTO is looking to bring a technology manager to be part of VTO's Electrification team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-13 level, technology development managers serve as technical experts in electric-drive systems , powertrain and vehicle charging technologies, vehicle-grid integration, and other related technologies.",GS-13,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/4820373
Technology Development Manager (Engineer),"VTO is looking to bring a technology manager to be part of VTO's Off-road, Rail, Marine and Aviation R&D team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-13 level, technology development managers serve as technical experts in difficult to electrify sectors (off-road, rail, and marine); renewable fuels, such as advanced biofuels, renewable hydrogen, and e-fuels; heavy duty truck technologies, including the integration of hybrid and plug-in hybrid powertrains; catalysis research to cost-effectively reduce emissions from non-road engines, while reducing/replacing critical minerals, i.e., platinum group metals; and other related technologies.",GS-13,6/21/2022 - open until filled,Direct Hire,"Marine, Aviation, Rail, and Off-Road",https://www.energy.gov/node/4820374
Technology Development Manager (Engineer/Physical Scientist),"VTO is looking to bring a technology manager to be part of VTO's Energy Efficient Mobility Systems (EEMS) team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-13 level, technology development managers serve as technical experts in modeling and simulation; high-performance computing-enabled data analytics; new and emerging transportation-system technologies and new mobility solutions; connected, shared, and automated vehicles; and other related technologies.",GS-13,6/21/2022 - open until filled,Direct Hire,Energy Efficient Mobility Systems,https://www.energy.gov/node/4820375
Energy Technology Program Specialist (2 vacancies),"This position is part of the Office of Energy Efficiency and Renewable Energy - Headquarters, Department of Energy. As a Energy Technology Program Specialist, you will be developing effective federal/state approaches to deploying clean energy technologies for all sectors of the economy.",GS-12; GS-13,10/18/2022 - 10/24/2022,USAJobs,Technology Integration,https://www.usajobs.gov/job/683204900
Deployment Manager,coming soon,GS-14,coming soon,USAJobs,Technology Integration,
Infrastructure Deployment Manager,coming soon,GS-15,coming soon,USAJobs,Technology Integration,
Deputy Director,coming soon,SES,coming soon,USAJobs,N/A,
Director,"DOE's Energy Efficiency and Renewable Energy Office is looking for a dynamic, innovative, seasoned executive to lead the Vehicle Technologies Office, a $400M research, development, demonstration & deployment (RDD&D) organization. You'll develop research strategies, demonstration & deployment initiatives; and lead execution of programs with public, private-sector & national labs to achieve cost-effective national energy, environment and economic goals through sustainable transportation solutions.",SES,06/28/2022 - 08/29/2022,USAJobs,N/A,https://www.usajobs.gov/GetJob/ViewDetails/662333800
