Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Award_End_Date,Total_Government_Share,Cost_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Grid Frequency Support From Distributed Inverter-Based Resources In Hawaii ,National Renewable Energy Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,9/30/2018,"$310,000 ",$0.00 ,Golden,CO,80401,node/3192214,39.715877,-105.231183,Andy Hoke,"This project is developing, simulating, and validating practical solutions in Hawaii that enable distributed energy resources to help mitigate bulk system frequency contingency events on a time-scale ranging from milliseconds to seconds. It is also validating the ability of real hardware inverters to support grid frequency in an environment that emulates the dynamics of a Hawaiian Electric Company power system."
"Development of Integrated Transmission, Distribution, and Communication Models ",Pacific Northwest National Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$450,000 ",$0.00 ,Richland,WA,99352,node/3192214,46.26031,-119.27932,Henry Huang,"This project is building on best-in-class lab capabilities to develop an integrated, flexible, open source framework for coupling transmission, distribution, and communication models and simulations. It will also validate framework and models on hardware testbed. Real-world testing with partners will include distributed and wide area controls with distributed energy resources."
Distribution System Decision Support Tools,National Renewable Energy Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$330,000 ",$0.00 ,Golden,CO,80401,node/3192214,39.715877,-105.231183,Michael Ingram,"This project is developing tools, identifying gaps, and providing technical assistance and training for state regulators and small to medium utilities on advanced distribution system planning for a modernized grid that incorporates high levels of distributed energy resources."
Foundational Analysis for Grid Modernization Lab Consortium (GMLC) Establishment/Framework ,Pacific Northwest National Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$200,000 ",$0.00 ,Richland,WA,99352,node/3192214,46.26031,-119.27932,Michael Kintner-Meyer,"This project is developing an integrated suite of grid modernization metrics that leverage current industry practices and emerging industry additions, while developing new metrics that reflect evolving grid attributes and architectures. Researchers will conduct baseline modernization assessments and provide ongoing dashboard for policy makers, regulators, and industry stakeholders."
Grid Architecture ,Pacific Northwest National Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$700,000 ",$0.00 ,Richland,WA,99352,node/3192214,46.26031,-119.27932,Jeffrey Taft,"This project is building a new stakeholder-driven architecture for grid modernization, provide it to the industry with the tools they need to adapt it to their needs, and use it to inform program managers."
Standards and Test Procedures for Interconnection and Interoperability ,National Renewable Energy Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$1,200,000 ",$0.00 ,Golden,CO,80401,node/3192214,39.715877,-105.231183,David Narang,"This project builds on prior efforts to develop interconnection and interoperability standards and test procedures. It leverages existing activities spanning multiple DOE programs to harmonize requirements across jurisdictions, eliminate conflicting requirements across technology domains, and streamline conformance test procedures to the fullest extent possible."
Vermont Regional Partnership Enabling the Use of Distributed Energy Resources,Sandia National Laboratories,AL85000/Lab29794,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,9/30/2018,"$850,000 ",$0.00 ,Albuquerque,NM,87123,node/3192214,34.98,-106.52,Robert Broderick,"This project is analyzing distributed energy resource integration, control, validation of wind and solar prediction, and a techno-economic analysis of energy storage in Vermont to inform utilities seeking to meet the state's renewable energy goal."
Future Electric Utility Regulation ,Lawrence Berkeley National Laboratory,CH11231/Lab29793,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$250,000 ",$0.00 ,Livermore,CA,94720,node/3192214,37.870151,-122.259461,Lisa Schwartz,This project provides analysis to state public utility commissions that are considering incremental and fundamental changes to electric utility regulation. It also enhances utility financial analysis modeling tools focused on ratemaking and regulatory issues that arise with increased penetration of distributed energy resources.
Solar America Cities Technical Outreach to Local Governments,ICLEI - Local Governments for Sustainability U.S.A.,DE-EE0003525,Soft Costs,node/791371,Funding Opportunity,Solar Outreach Partnership,SolarOps,Inactive,8/1/2010,7/31/2016,"$5,150,000 ",$0.00 ,Boston,MA,02114-1804,node/791511,42.365292,-71.064634,Angie Fyfe,"The goal of this project, in collaboration with the U.S. Department of Energy (DOE), is to plan, produce, deliver, and measure a program of technical assistance to city and county governments and other locally based government jurisdictions to accelerate the adoption of solar energy technologies. U.S. DOE's Solar America Communities program aims to transform America's energy markets by accelerating expansion of solar energy production and consumption in localities across the U.S. The program focuses upon strengthening the role of local governments as change agents in this market transformation."
Solar America Cities Technical Outreach to Local Governments,The International City/County Management Association,DE-EE0003526,Soft Costs,node/791371,Funding Opportunity,Solar Outreach Partnership,SolarOps,Inactive,8/1/2010,7/31/2016,"$4,653,971.88 ",$0.00 ,Washington,DC,20002-4201,node/791511,38.905276,-76.981588,Thomas McGilliard,"The goal of this project is to empower local governments to go solar. The SunShot Solar Outreach Partnership (SolarOPs) Program, with a team of experts in solar soft cost reduction strategies, collects, creates and delivers best practices to accelerate solar energy adoption by providing timely and actionable information to local governments across the country. Through regional workshops and e-learning activities, the SolarOPs team has reached more than 4,000 individuals in all 50 states, representing more than 1,500 local government entities.  One of the key features of SolarOPs is the delivery of targeted one-on-one technical assistance to local governments looking to make their community solar-ready. Technical assistance is being delivered to local governments in North Carolina, California, Delaware, and New Jersey, among others. The SolarOPs team is developing factsheets, case studies, and technical reports based on cutting-edge research related to solar and economic development, solar and resiliency planning, innovative solar financing, solar jobs analysis, community solar and solar and firefighter safety. In addition, the SolarOPs team coordinates communications among the Rooftop Solar Challenge 2 teams whose work covers 28 states and the District of Columbia, representing nearly 150 million people."
"High-Concentration, Low-Cost Parabolic Trough System for Baseload Concentrating Solar-Thermal Power Generation",Skyfuel,DE-EE0003584,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,12/31/2013,"$2,329,660.00 ","$1,242,812.00 ",Albuquerque,NM,87111,node/790571,34.98,-106.52,David White,"SkyFuel, under the Baseload CSP FOA, is developing an advanced, low-cost CSP collector using higher-concentration, higher-temperature, parabolic trough technology to substantially reduce the cost of baseload utility-scale solar power generation."
Innovative Phase Change Thermal Energy Storage Solution for Baseload Power,Infinia,DE-EE0003585,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,8/31/2015,"$999,326.98 ","$249,832.99 ",Kennewick,WA,99336-2374,node/790551,46.213805,-119.161041,Songgang Qiu,"Infinia, under the Baseload CSP FOA, is developing and demonstrating a subscale system for baseload CSP power generation using thermal energy storage (TES) in a unique integration of innovative enhancements that improves performance and reduces cost."
Next-Generation Low-Cost Reflector,PPG Industries,DE-EE0003586,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,11/30/2016,"$749,775.94 ","$415,529.52 ",Allison Park,PA,15101-0001,node/790556,40.559483,-79.959213,James McCamy,"PPG, under the Baseload CSP FOA, is producing a durable first-surface mirror with improved optical performance and geometry design to reduce the unit cost of the reflector subcomponent in a concentrating solar power (CSP) application. PPG Industries is creating an ultra-large, front-surface glass mirror with an inorganic protective hardcoat. This approach is working toward reduced operation and maintenance costs and a lower overall unit cost of the reflector assembly. Moving to a larger-sized glass reflector also reduces manufacturing costs because fewer mirrors are needed. The project aims to achieve an estimated levelized cost of electricity (LCOE) of less than $0.08/kWh."
Brayton Cycle Baseload Power Tower,Wilson Solar Power,DE-EE0003587,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,8/31/2013,"$3,219,054.00 ","$2,509,399.00 ",Tampa,FL,33612-9446,node/790591,28.056383,-82.442777,Yogi Goswami,"Wilson Solarpower, under the Baseload CSP FOA, is validating a proposed utility-scale, Brayton cycle baseload power tower system with a capacity factor of at least 75% and LCOE of $0.09/kWh."
Baseload Concentrating Solar-Thermal Power Generation Integrated with Sulfur-Based Thermochemical Heat Storage,General Atomics,DE-EE0003588,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,11/30/2013,"$1,823,783.00 ","$875,823.28 ",San Diego,CA,92186-5608,node/790541,32.810253,-117.132358,Bunsen Wong,"General Atomics, under the Baseload CSP FOA, is demonstrating the engineering feasibility of using a sulfur-based thermochemical cycle to store heat from a CSP plant and support baseload power generation."
Encapsulated Phase Change Material in Thermal Storage for Baseload Concentrating Solar-Thermal Power Plants,Terrafore ,DE-EE0003589,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,8/31/2013,"$1,174,547.00 ","$292,897.00 ",Riverside,CA,91311-4411,node/790581,34.264513,-118.531176,Anoop Mathur,"Terrafore, under the Baseload CSP FOA, is developing novel encapsulated phase change materials (PCM) for use in thermal storage applications to significantly reduce the LCOE for baseload CSP plants. Terrafore is determining a cost-effective way to produce small 10 mm to 15 mm capsules containing phase change material (PCM salt) in a suitable shell material. Large numbers of these PCM capsules provide high-heat transfer surface and store heat as sensible and latent heat of fusion of salt. The capsules with different PCMs inside the shell are stacked inside a single tank to provide a cascaded storage to effectively use the latent heat of fusion of salts over the solar collection temperature range."
Development and Demonstration of an Innovative Thermal Energy Storage System for Baseload Power Generation,University of South Florida,DE-EE0003590,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2012,7/31/2012,"$766,895.46 ","$191,724.36 ",Tampa,FL,33620,node/790586,28.05457,-82.41168,Yogi Goswami,"The University of South Florida, under the Baseload CSP FOA, developed a thermal energy storage system based on encapsulated phase change materials (PCM) that meets the utility-scale baseload CSP plant requirements at significantly lower system costs. "
Low-Cost Solar Thermal Collector,Suntrough Energy,DE-EE0003591,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,2/28/2013,"$446,814.39 ","$539,065.50 ",Chatsworth,CA,91311-4411,node/790576,34.264513,-118.531176,Philip H. Lee,"SunTrough, under the Baseload CSP FOA, is developing a new class of solar concentrators with geometries and manufacturability that can significantly reduce the fully installed cost of the solar collector field. SunTrough Energy is working to develop a single-axis tracking, line-focus solar concentrator and a pilot manufacturing facility under this award. The new Articulating Planar Fresnel Collector (APFC) design is supported by dedicated component manufacturing facilities and supply chain management."
High-Efficiency Thermal Storage System for Solar Plants,SENER Engineering and Systems,DE-EE0003592,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,11/21/2013,"$3,084,873.00 ","$1,607,068.00 ",San Francisco,CA,94104-3400,node/790566,37.789018,-122.391506,Eduardo Villarroe,"SENER, under the Baseload CSP FOA, aims to develop a highly efficient, low-maintenance and economical thermal energy storage (TES) system using solid graphite modular blocks for CSP plants. The main objective is to evaluate a TES system able to store energy at temperatures greater than 800 degrees Celsius and that is robust enough to withstand the thermal cycles foreseen in a lifespan of 30 years with no parasitic energy consumption. SENER is refining the layout of the TES system, which is currently too large with too much piping to be economical. The graphite material proposed appears to be superior to concrete for use as a TES storage medium. The project seeks to modify the graphite composition to increase the thermal conductivity and reduce the cost of the graphite, as these are the two biggest drivers in the cost of the system."
Low-Cost Heliostat Development,HiTek Services,DE-EE0003593,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,12/31/2013,"$1,762,345.07 ","$611,438.39 ",Owens Crossroads,AL,35763-9236,node/790546,34.588146,-86.458877,Stephen Kusek,"HiTek Services, under the Baseload CSP FOA, is conducting fundamental parametric analyses of the optimum heliostat size and developing a novel low-cost heliostat design."
Solar Power Tower Improvements with the Potential to Reduce Costs,Pratt & Whitney Rocketdyne,DE-EE0003594,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,7/31/2015,"$1,893,194.00 ","$742,569.00 ",Canoga Park,CA,06101-1234,node/790731,35.282056,-119.920682,Michael McDowell,"Rocketdyne, under the Baseload CSP FOA, is designing, fabricating, and testing a several components of a molten salt solar power tower that is in line with SunShot Initiative cost targets."
Modular and Scalable Baseload Molten Salt Plant Conceptual Design and Feasibility,eSolar,DE-EE0003595,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,6/30/2012,"$4,390,612.77 ","$1,417,076.00 ",Pasadena,CA,91103-3628,node/790536,34.16424,-118.083005,Craig Tyner,"eSolar, under the Baseload CSP FOA, is designing a 100-MW, 75% capacity factor, molten salt power tower plant, based around a molten salt receiver and heliostat field module with a nominal thermal rating of 50 MWth. They are taking a modular approach, which can be scaled through replication of the receiver/field module to meet output and capacity factor requirements."
Advanced Nitrate Salt Central Receiver Power Plant,Abengoa Solar,DE-EE0003596,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,9/30/2014,"$4,517,474.00 ","$1,931,857.00 ",Lakewood,CO,80401-4489,node/790531,39.715877,-105.231183,Bruce Kelly,"Abengoa demonstrated a 100-megawatt electrical (MWe) central receiver plant using nitrate salt as the receiver coolant, thermal storage medium, and heat transport fluid in the steam generator. Abengoa planned to operate the plant at full load for 6,400 hours each year using only solar energy. The team worked to create a team of suppliers capable of deploying a commercially ready nitrate salt central receiver technology that can be competitive in the current power marketplace."
