ProjectID,Project,Fuel,Market_Sector,Technology_Prime_Mover,Thermal_Energy_Use,Profile,City,State,CHP_TAP,SystemSize,YearInstalled,NAICS_Code,Status,Comment
357,Metro Wastewater Reclamation District,Biogas,Waste and Wastewater Treatment ,Combustion Turbine,Anaerobic Digester | Process Heat | Space Heating,http://www.chptap.org/Data/projects/Denver_Metro_Wastewater-Project_Profile.pdf,Denver,CO,Upper-West,6200,1985,221320 Sewage Treatment Facilities,1,
358,Trailblazer Pipeline,Natural Gas | Waste Heat,Pipelines,Combustion Turbine | Organic Rankine Cycle,Electricity,http://www.chptap.org/Data/projects/Trailblazer-Project_Profile1.pdf,Peetz,CO,Upper-West,4000,2009,221210 Natural Gas Distribution,1,
359,Tesoro Petroleum,Natural Gas | Other,Refineries,Combustion Turbine,Process Heat,http://www.chptap.org/Data/projects/Tesoro_Petroleum-Project_Profile.pdf,Salt Lake City,UT,Upper-West,22000,2004,324110 Petroleum Refineries,1,
360,University of Arizona,Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Cooling | Space Heating,http://www.chptap.org/Data/projects/University_of_Arizona-Project_Profile.pdf,Tucson,AZ,Western,12000,2002,"611310 Colleges, Universities and Professional Schools",1,
361,Utah State University,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Heating | Water Heating,http://www.chptap.org/Data/projects/Utah_State_University-Project_Profile.pdf,Logan,UT,Upper-West,4500,2004,"611310 Colleges, Universities and Professional Schools",1,
363,New Belgium Brewery,Biogas | Natural Gas,Breweries,Reciprocating Engine,Anaerobic Digester,http://www.chptap.org/Data/projects/New_Belgium-Project_Profile.pdf,Fort Collins,CO,Upper-West,290,2003,312120 Breweries,1,
365,MillerCoors,Coal | Fuel Oil | Natural Gas,Breweries,Steam Turbine,Process Cooling | Process Heat | Steam,http://www.chptap.org/Data/projects/MillerCoors-Project_Profile.pdf,Golden,CO,Upper-West,40000,1930,312120 Breweries,1,
366,Bucknell University,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine | Steam Turbine,Steam,http://www.chptap.org/Data/projects/bucknell_project_profile1.pdf,Lewisburg,PA,Mid-Atlantic,6000,1998,"611310 Colleges, Universities and Professional Schools",1,
367,Patterson Farms,Biogas,Agriculture,Reciprocating Engine,Anaerobic Digester,http://www.chptap.org/Data/projects/patterson-Project_Profile.pdf,Auburn,NY,New York-New Jersey,250,2005,112120 Dairy Cattle and Milk Production,1,
368,Temple University,Natural Gas,Universities and Colleges,Reciprocating Engine,None,http://www.chptap.org/Data/projects/temple_university_project_profile1.pdf,Philadelphia,PA,Mid-Atlantic,16000,1993,"611310 Colleges, Universities and Professional Schools",1,
